mail.dns21.org. 	121.9.213.200
sunlei3.dns21.org. 	121.9.210.175
onwind1.dns21.org. 	113.105.247.26
onwind2.dns21.org. 	113.105.247.21
onwind3.dns21.org. 	113.105.247.22
onwind4.dns21.org. 	113.105.247.23
onwind6.dns21.org. 	113.105.247.24
onwind7.dns21.org. 	113.105.247.18
onwind8.dns21.org. 	113.105.247.19
onwind9.dns21.org. 	113.105.247.23
onwind10.dns21.org. 	113.105.247.25
guangxin.dns21.org. 	121.9.243.148
xbwl.dns21.org. 	121.9.243.130
xbwl1.dns21.org. 	121.9.243.131
xbwl2.dns21.org. 	121.9.243.132
xbwl3.dns21.org. 	121.9.243.133
xbwl4.dns21.org. 	121.9.243.134
xbwl5.dns21.org. 	121.9.243.135
xbwl6.dns21.org. 	121.9.243.136
xbwl8.dns21.org. 	121.9.243.138
xbwl9.dns21.org. 	121.9.243.139
xbwl10.dns21.org. 	121.9.243.140
xbwl11.dns21.org. 	121.9.243.141
xbwl12.dns21.org. 	121.9.243.142
xbwl13.dns21.org. 	121.9.243.143
xbwl14.dns21.org. 	121.9.243.144
xbwl15.dns21.org. 	121.9.243.145
de44.com.dns21.org. 	121.9.212.109
de441.com.dns21.org. 	121.9.212.110
r1.56wan.com.dns21.org. 	121.9.243.237
r4.56wan.com.dns21.org. 	121.9.243.239
r3.56wan.com.dns21.org. 	121.9.243.238
r8.56wan.com.dns21.org. 	121.9.243.240
shiye.dns21.org. 	121.9.243.183
yunhi.dns21.org. 	121.9.210.169
d73.dns21.org. 	121.9.210.177
xtwl.dns21.org. 	119.145.139.130
175ptd.dns21.org. 	116.28.64.162
175ptd1.dns21.org. 	116.28.64.179
175ptd2.dns21.org. 	116.28.64.168
175ptd3.dns21.org. 	116.28.64.178
175ptd4.dns21.org. 	116.28.64.164
175ptd5.dns21.org. 	116.28.64.166
175ptd5.dns21.org. 	116.28.64.166
175ptd6.dns21.org. 	116.28.64.165
175ptd7.dns21.org. 	116.28.64.167
kqn.dns21.org. 	121.9.243.245
kqn2.dns21.org. 	121.9.243.246
wdfs.de44.com.dns21.org. 	121.9.212.109
mama1.dns21.org. 	119.145.147.187
xbwl16.dns21.org. 	121.9.243.146
xbwl19.dns21.org. 	121.9.212.4
xbwl20.dns21.org. 	121.9.212.5
xbwl21.dns21.org. 	121.9.212.6
xbwl22.dns21.org. 	121.9.212.7
xbwl23.dns21.org. 	121.9.212.8
xbwl24.dns21.org. 	121.9.212.9
xbwl25.dns21.org. 	121.9.212.10
xbwl27.dns21.org. 	121.9.212.12
xbwl28.dns21.org. 	121.9.212.13
xbwl29.dns21.org. 	121.9.212.14
sina1.likong.org.dns21.org. 	116.28.65.8
sina2.likong.org.dns21.org. 	116.28.65.9
www.xiaohei.com.dns21.org. 	121.9.212.109
gzmama3.dns21.org. 	119.145.147.184
gzmama4.dns21.org. 	119.145.147.185
xiaohei1.dns21.org. 	121.9.214.174
xiaohei2.dns21.org. 	121.9.214.164
sbd194.dns21.org. 	121.9.210.194
gzmama5.dns21.org. 	119.145.147.183
ftp1.zotac.com.dns21.org. 	116.28.65.106
175ptd8.dns21.org. 	116.28.64.163
yiyulian.dns21.org. 	121.9.243.247
easydo.cn.dns21.org. 	121.9.13.200
mytodo.cn.dns21.org. 	121.9.13.200
edoapps.com.dns21.org. 	121.9.13.200
edocrm.com.dns21.org. 	121.9.13.200
edoforum.com.dns21.org. 	121.9.13.200
edoplans.com.dns21.org. 	121.9.13.200
edoflow.com.dns21.org. 	121.9.13.200
everydo.cn.dns21.org. 	121.9.13.200
175ptd9.dns21.org. 	116.28.64.177
yilian139.dns21.org. 	119.145.139.139
longhuizhou162.dns21.org. 	121.9.210.162
huaxiaducheng105.dns21.org. 	121.9.212.105
huaxiaducheng107.dns21.org. 	121.9.212.107
huaxiaducheng108.dns21.org. 	121.9.212.108
uclife.dns21.org. 	116.28.65.24
g.dns21.org. 	121.9.212.105
www.gz-toca.com.dns21.org. 	116.28.65.26
www.uc-life.com.dns21.org. 	116.28.65.26
175ptd10.dns21.org. 	116.28.64.172
175ptd11.dns21.org. 	116.28.64.169
yy.unionbig.com.dns21.org. 	119.120.92.203
www.momoou.com.dns21.org. 	120.31.144.31
bbs.momoou.com.dns21.org. 	120.31.144.31
mail.momoou.com.dns21.org. 	120.31.144.31
lz.momoou.com.dns21.org. 	120.31.144.31
lgz.momoou.com.dns21.org. 	120.31.144.31
gzmama6.dns21.org. 	119.145.147.180
www.sqyjhf.com.dns21.org. 	116.28.65.12
gzmama177.dns21.org. 	119.145.147.177
gzmama178.dns21.org. 	119.145.147.178
gzmama179.dns21.org. 	119.145.147.179
urs.momoou.com.dns21.org. 	120.31.144.35
dl.momoou.com.dns21.org. 	120.31.144.31
runpu.dns21.org. 	121.9.13.199
s3.22kk.com.dns21.org. 	119.120.92.217
landong1.dns21.org. 	116.28.65.18
landong2.dns21.org. 	116.28.65.23
landong3.dns21.org. 	116.28.65.24
cn.subaye.com.dns21.org. 	61.142.208.4
3pk.dns21.org. 	121.9.13.201
shidaicaifu.dns21.org. 	120.31.144.72
shidaicaifu1.dns21.org. 	120.31.144.73
955uc.dns21.org. 	116.28.65.98
955uc1.dns21.org. 	116.28.65.99
955uc2.dns21.org. 	116.28.65.100
955uc3.dns21.org. 	116.28.65.101
swct.dns21.org. 	119.120.92.215
haiqi.dns21.org. 	116.28.65.185
175ptd100.dns21.org. 	113.106.18.36
175ptd101.dns21.org. 	121.9.13.243
175ptd102.dns21.org. 	121.9.13.244
175ptd12.dns21.org. 	116.28.64.173
175ptd13.dns21.org. 	116.28.64.175
yihubaiying114.dns21.org. 	121.9.243.114
yihubaiying119.dns21.org. 	121.9.243.119
yihubaiying120.dns21.org. 	121.9.243.120
yihubaiying121.dns21.org. 	121.9.243.121
yihubaiying122.dns21.org. 	121.9.243.122
yihubaiying123.dns21.org. 	121.9.243.123
yihubaiying124.dns21.org. 	121.9.243.124
likefaceimg.com.dns21.org. 	121.9.210.183
ztg.dns21.org. 	116.28.65.105
zhongzhou.dns21.org. 	121.9.214.167
3mx.dns21.org. 	121.9.214.174
ebibi.dns21.org. 	121.9.214.162
yihubaiying118.dns21.org. 	121.9.243.118
manyou71.dns21.org. 	121.9.212.71
manyou72.dns21.org. 	121.9.212.72
miaodong.dns21.org. 	61.146.178.163
yihubaiying125.dns21.org. 	121.9.243.125
6dad2.dns21.org. 	119.120.92.219
zonyoua.dns21.org. 	121.10.246.99
zonyoub.dns21.org. 	121.10.246.100
goumay.dns21.org. 	119.120.92.209
special.880job.dns21.org. 	119.120.92.209
1sd.youboy2.dns21.org. 	113.105.247.2
1sd.youboy3.dns21.org. 	113.105.247.3
1sd.youboy18.dns21.org. 	59.39.7.18
1sd.youboy19.dns21.org. 	59.39.7.19
1sd.youboy21.dns21.org. 	59.39.7.21
1sd.youboy22.dns21.org. 	59.39.7.22
1sd.youboy23.dns21.org. 	59.39.7.23
1sd.youboy24.dns21.org. 	59.39.7.24
1sd.youboy25.dns21.org. 	59.39.7.25
1sd.youboy26.dns21.org. 	59.39.7.26
1sd.youboy27.dns21.org. 	59.39.7.27
1sd.youboy28.dns21.org. 	59.39.7.28
1sd.youboy29.dns21.org. 	59.39.7.29
1sd.youboy30.dns21.org. 	59.39.7.30
news.880job.dns21.org. 	119.120.92.209
aibiwang.com.dns21.org. 	183.60.192.48
aibiwang2.com.dns21.org. 	113.105.247.44
aibiwang3.com.dns21.org. 	183.60.192.47
yihubaiying235.dns21.org. 	121.9.13.235
1sd.youboy20.dns21.org. 	59.39.7.20
gzjz1.dns21.org. 	14.17.121.248
gzjz2.dns21.org. 	14.17.121.249
smartdns.dns21.org. 	121.9.13.178
ouqm.dns21.org. 	121.10.246.108
xbwl7.dns21.org. 	121.9.243.137
emouse.dns21.org. 	121.9.210.176
dahuangye.dns21.org. 	121.9.211.89
hongjing.dns21.org. 	119.120.92.205
ifunnygame.dns21.org. 	121.10.247.54
funnygame.dns21.org. 	121.10.247.54
funnygame1.dns21.org. 	121.10.247.54
sm800pharm.dns21.org. 	116.28.63.78
wp800pharm.dns21.org. 	116.28.63.76
cps800pharm.dns21.org. 	116.28.63.75
search800pharm.dns21.org. 	116.28.63.71
web800pharm.dns21.org. 	116.28.63.74
admin800pharm.dns21.org. 	116.28.63.79
whhl.dns21.org. 	119.120.92.195
upload.800pharm.dns21.org. 	116.28.63.77
gzmama182.dns21.org. 	119.145.147.182
gzjz3.dns21.org. 	113.105.247.42
www.luuyou.com.dns21.org. 	113.105.247.57
www.800pharm.dns21.org. 	116.28.63.80
4s91.dns21.org. 	121.9.210.244
lianyuyitong.dns21.org. 	121.9.201.182
miaodong55.dns21.org. 	113.105.248.55
miaodong56.dns21.org. 	113.105.248.56
miaodong57.dns21.org. 	113.105.248.57
miaodong58.dns21.org. 	113.105.248.58
miaodong59.dns21.org. 	113.105.248.59
miaodong60.dns21.org. 	113.105.248.60
miaodong61.dns21.org. 	113.105.248.61
miaodong62.dns21.org. 	113.105.248.62
gzjz4.dns21.org. 	14.17.121.250
197.6dad.dns21.org. 	119.120.92.197
zydz102.dns21.org. 	121.9.13.249
site.mayayx.dns21.org. 	113.106.24.50
server.mayayx.dns21.org. 	113.106.24.51
ccredit.dns21.org. 	113.105.247.105
ftp1.zotac.com.dns21.org. 	116.28.65.106
zx.idkin.com.dns21.org. 	116.28.64.203
zhixun.idkin.dns21.org. 	116.28.63.203
ty.idkin.dns21.org. 	116.28.63.203
idkin.dns21.org. 	116.28.63.203
bg.idkin.dns21.org. 	116.28.63.203
passport.idkin.dns21.org. 	116.28.63.203
cais.svc.idkin.dns21.org. 	116.28.63.200
irpc.svc.idkin.dns21.org. 	116.28.63.201
ns.idkin.dns2.org.dns21.org. 	116.28.63.199
ns.idkin.dns21.org. 	116.28.63.199
yjchess.dns21.org. 	119.145.139.138
gzmama101.dns21.org. 	119.145.147.101
cpanel.mgr.idkin.dns21.org. 	116.28.63.202
incenter.svc.idkin.dns21.org. 	116.28.63.198
grandbuy.dns21.org. 	121.9.243.239
oyo.dns21.org. 	121.9.213.242
d2o.dns21.org. 	119.145.147.221
xn.dns21.org. 	113.105.247.23
tkt.dns21.org. 	113.105.247.24
sixcube.dns21.org. 	113.105.247.25
ftp.app.idkin.dns21.org. 	116.28.63.197
pkg.app.idkin.dns21.org. 	116.28.63.197
file.app.idkin.dns21.org. 	116.28.63.197
file.app.idkin.dns21.org. 	116.28.63.197
pkg.app.idkin.dns21.org. 	116.28.63.197
ftp.app.idkin.dns21.org. 	116.28.63.197
leerhuo.dns21.org. 	116.28.63.72
tywl.dns21.org. 	121.9.210.244
tywl1.dns21.org. 	121.9.210.246
scmail.dns21.org. 	113.105.247.25
4202.cn.dns21.org. 	121.9.213.243
tiantuolifang.dns21.org. 	116.28.63.212
poker.pengyou8.com.dns21.org. 	116.28.63.212
landong4.dns21.org. 	116.28.65.19
juwang.dns21.org. 	120.31.128.77
agent1.juwang.dns21.org. 	120.31.128.80
ygth26.dns21.org. 	120.31.128.26
ygth27.dns21.org. 	120.31.128.27
ygth28.dns21.org. 	120.31.128.28
wande.dns21.org. 	113.105.223.91
zzwl58.dns21.org. 	119.145.138.58
colortu.dns21.org. 	113.105.223.79
s1.inclub.idkin.dns21.org. 	116.28.63.201
ty248.dns21.org. 	121.9.210.248
server2.mayayx.dns21.org. 	113.106.24.52
keymobile.dns21.org. 	120.31.129.148
020.dns21.org. 	113.105.248.74
ty245.dns21.org. 	121.9.210.245
p.zeroworkroom.dns21.org. 	116.28.63.213
ell100.dns21.org. 	113.105.223.86
www.zqinet.com.dns21.org. 	116.28.65.11
testetong.etong.com.dns21.org. 	113.106.25.79
homachina.dns21.org. 	113.105.223.94
qks1.qikuai.com.cn.dns21.org. 	183.60.41.118
xxdstest.dns21.org. 	121.9.13.247
kt1.game3d.com.cn.dns21.org. 	115.238.144.155
gzyw172.dns21.org. 	121.9.244.214
qk01.qikuai.com.dns21.org. 	183.60.41.117
gd1.youxi63.com.dns21.org. 	115.238.144.151
image01.etong.dns21.org. 	113.106.25.83
sms.etong.com.dns21.org. 	113.106.25.79
gt2.game3d.com.cn.dns21.org. 	116.28.65.7
kt2.game3d.com.cn.dns21.org. 	116.28.65.8
game3d.dns21.org. 	116.28.65.9
pay.game3d.dns21.org. 	116.28.65.9
shuaihu.dns21.org. 	119.145.147.123
rytang.com.cn.dns21.org. 	119.120.92.206
www.miidi.net.dns21.org. 	115.238.144.30
rytang.dns21.org. 	119.120.92.206
jdshc.dns21.org. 	121.9.213.233
bzw.dns21.org. 	120.31.144.77
kfgame.dns21.org. 	120.31.144.77
freehead.dns21.org. 	121.9.212.83
52shujun.dns21.org. 	116.28.65.107
agent2.juwang.dns21.org. 	120.31.128.85
xzq236.dns21.org. 	121.9.213.236
etong.dns21.org. 	113.106.25.81
izlys.dns21.org. 	113.105.223.76
wcf.etong.dns21.org. 	113.106.25.80
yw207.dns21.org. 	121.9.244.207
yw208.dns21.org. 	121.9.244.208
yw209.dns21.org. 	121.9.244.209
yw210.dns21.org. 	121.9.244.210
yw211.dns21.org. 	121.9.244.211
kzj365.dns21.org. 	113.105.247.45
bilishu.dns21.org. 	113.105.247.43
ailizi.dns21.org. 	119.120.92.27
uoop.dns21.org. 	119.120.92.27
hkgongfu.dns21.org. 	119.120.92.27
moon182.dns21.org. 	119.120.92.27
s1.rytang.dns21.org. 	119.120.92.207
download.dns21.org. 	113.106.24.3
jht.dns21.org. 	121.9.212.112
123.zq6.dns21.org. 	121.9.213.139
feitian.dns21.org. 	121.9.211.52
shou182.dns21.org. 	119.120.92.27
usalishen.dns21.org. 	119.120.92.27
13509.com.dns21.org. 	113.105.247.46
quanfan.com.dns21.org. 	113.105.247.56
update.app.idkin.dns21.org. 	116.28.63.197
yudong.dns21.org. 	113.105.222.44
p.zeroworkroom.dns21.org. 	116.28.63.213
test.pengyou8.dns21.org. 	116.28.63.216
watercooling.com.cn.dns21.org. 	119.120.92.198
ty247.dns21.org. 	121.9.210.247
qks3.qikuai.dns21.org. 	183.60.41.113
jrjz.dns21.org. 	120.31.128.17
chuangyougame.dns21.org. 	113.105.247.51
qks5.qikuai.dns21.org. 	183.60.41.119
qks6.qikuai.dns21.org. 	121.9.244.246
qks7.qikuai.dns21.org. 	113.106.27.194
etmupdate.etong.dns21.org. 	113.106.25.78
adplanwcf.etong.dns21.org. 	113.106.25.78
wcftest.etong.dns21.org. 	113.106.25.78
ygth29.dns21.org. 	120.31.128.29
ygth30.dns21.org. 	120.31.128.30
ygth23.dns21.org. 	120.31.128.23
ygth24.dns21.org. 	120.31.128.24
ygth25.dns21.org. 	120.31.128.25
qks8.qikuai.dns21.org. 	113.106.27.196
ailize.dns21.org. 	119.120.92.27
qks9.qikuai.dns21.org. 	113.106.27.201
gxxunjie.dns21.org. 	120.31.128.20
qks10.qikuai.dns21.org. 	113.106.27.200
qks11.qikuai.dns21.org. 	113.106.27.202
qks12.qikuai.dns21.org. 	121.9.244.247
easye100.com.dns21.org. 	113.105.248.68
nbs2.qikuai.com.dns21.org. 	121.9.244.247
nbs6.qikuai.dns21.org. 	183.60.41.118
nbs9.qikuai.dns21.org. 	183.60.41.113
nbs13.qikuai.dns21.org. 	113.106.27.196
nbs5.qikuai.dns21.org. 	183.60.41.119
nbs10.qikuai.dns21.org. 	183.60.41.116
nbs12.qikuai.dns21.org. 	113.106.27.194
nbs14.qikuai.dns21.org. 	113.106.27.201
nbs1.qikuai.dns21.org. 	113.106.27.200
qks4.qikuai.dns21.org. 	183.60.41.116
xgrc.dns21.org. 	120.31.128.21
nbs8.qikuai.com.dns21.org. 	121.9.244.245
qks6.qikuai.com.cn.dns21.org. 	121.9.212.104
nbs11.qikuai.com.dns21.org. 	121.9.244.246
bjqk102.dns21.org. 	121.9.212.104
qks13.qikuai.dns21.org. 	121.9.244.249
nbs3.qikuai.com.dns21.org. 	121.9.244.249
ss01.game.qidian.dns21.org. 	119.120.92.221
avsspub.tttalks.dns21.org. 	120.31.144.78
utaoju.dns21.org. 	119.145.147.174
qks14.qikuai.dns21.org. 	121.9.244.242
gzjz5.dns21.org. 	14.17.121.252
word.langfly.dns21.org. 	116.28.65.22
union.etong.dns21.org. 	113.106.25.102
topic.etong.dns21.org. 	113.106.25.102
shou182.cn.dns21.org. 	119.120.92.27
chun182.dns21.org. 	119.120.92.27
bjqk103.dns21.org. 	121.9.244.245
ryt.g.1360.dns21.org. 	119.120.92.207
S1.ryt.o.1360.dns21.org. 	119.120.92.207
12wanwan.dns21.org. 	183.60.47.34
yiqiwan001.dns21.org. 	183.60.47.35
list.etong.dns21.org. 	113.106.25.99
liqi-nb.dns21.org. 	115.238.144.12
19763.com.dns21.org. 	115.238.154.21
ad.33la.com.dns21.org. 	115.238.154.21
box.leboo.net.dns21.org. 	115.238.154.21
ads.leboo.net.dns21.org. 	115.238.154.21
www.leboo.net.dns21.org. 	115.238.154.21
leboo.net.dns21.org. 	115.238.154.21
www.33la.com.dns21.org. 	115.238.154.21
33la.com.dns21.org. 	115.238.154.21
www.19763.com.dns21.org. 	115.238.154.21
ad.19763.com.dns21.org. 	115.238.154.21
www.91389.com.dns21.org. 	115.238.154.21
91389.com.dns21.org. 	115.238.154.21
ads.91389.com.dns21.org. 	115.238.154.21
biz72.dns21.org. 	113.105.223.68
biz72img.dns21.org. 	113.105.223.69
gw.idkin.dns21.org. 	116.28.63.203
ell101.dns21.org. 	113.105.223.81
im.etong.dns21.org. 	113.106.25.105
tdzyw.dns21.org. 	116.28.63.194
respu.dns21.org. 	116.28.63.194
ss.game.qidian.dns21.org. 	119.120.92.220
www.x2mh.com.dns21.org. 	115.238.154.24
www.adminvc.com.dns21.org. 	115.238.154.24
www.431432.com.dns21.org. 	183.61.84.92
hall.431432.com.dns21.org. 	183.61.84.92
s1.431432.com.dns21.org. 	183.61.84.90
s2.431432.com.dns21.org. 	183.61.84.91
b1.431432.com.dns21.org. 	183.60.47.89
d1.431432.com.dns21.org. 	183.60.47.90
sj.etong.dns21.org. 	113.106.25.75
juwang01.dns21.org. 	120.31.128.25
tianyue253.dns21.org. 	121.9.210.253
ccivo.dns21.org. 	121.9.243.232
tianyue252.dns21.org. 	121.9.210.252
cloundroom01.dns21.org. 	183.60.47.48
lvxoo.dns21.org. 	113.105.223.143
gw.idkin.dns21.org. 	116.28.63.202
ed.pengyougame.dns21.org. 	116.28.63.217
iomeeting131.dns21.org. 	183.61.70.131
vip.etong.dns21.org. 	113.106.25.100
rs.xxxy.kuaiwan.dns21.org. 	183.60.41.10
tapyeah001.dns21.org. 	183.60.47.51
*.etong.com.dns21.org. 	113.106.25.100
sjpub.etong.dns21.org. 	113.106.25.101
infive.dns21.org. 	120.31.131.16
digitmotive.dns21.org. 	120.31.131.16
caronline.dns21.org. 	120.31.131.16
cartsp.dns21.org. 	120.31.131.16
52carnet.dns21.org. 	120.31.131.16
new-ways.dns21.org. 	120.31.131.16
upload.idkin.dns21.org. 	116.28.63.202
czyx124.dns21.org. 	119.145.147.124
kuaikuenglish.dns21.org. 	119.120.92.28
zeroworkroom01.dns21.org. 	183.61.80.140
svn.dns21.org. 	59.39.7.2
jinwei.dns21.org. 	119.145.147.125
xbwl17.dns21.org. 	121.9.212.2
xbwl18.dns21.org. 	121.9.212.3
gdzhuhai.dns21.org. 	119.120.92.194
admin.431432.com.dns21.org. 	183.61.84.92
cneca.dns21.org. 	61.142.208.8
hisuper.dns21.org. 	120.31.128.6
duoapk001.dns21.org. 	183.61.70.246
codudu01.dns21.org. 	183.60.47.114
powerleader.dns21.org. 	120.31.131.15
topgame3.dns21.org. 	183.60.47.46
yika.dns21.org. 	120.31.130.146
eap.xdzj.com.cn.dns21.org. 	115.238.185.166
xdzj.com.cn.dns21.org. 	115.238.185.166
oa.powerleader.dns21.org. 	120.31.131.13
50college.dns21.org. 	113.106.27.217
14688.dns21.org. 	120.31.128.114
ameitong.dns21.org. 	120.31.128.121
baoxiankaoshi.dns21.org. 	120.31.128.113
Saipuonline.dns21.org. 	120.31.128.115
120zc.dns21.org. 	120.31.128.71
chinaceot.dns21.org. 	120.31.128.69
httpflv.dns21.org. 	120.31.128.68
gzjiantang.dns21.org. 	120.31.128.125
muu.dns21.org. 	120.31.128.66
mycc.dns21.org. 	120.31.128.74
www.powerleader.dns21.org. 	120.31.131.45
oyo244.dns21.org. 	121.9.213.244
gzjz6.dns21.org. 	14.17.121.251
thtftv.com.dns21.org. 	116.28.65.102
50college210.dns21.org. 	113.106.27.210
